Status,Date,Description,Debit,Credit
Cleared,12/28/2023,THE INDIAN NIGHT SAN ANTONIO TX,17.66,
Cleared,12/28/2023,COSA - METERS SAN ANTONIO TX,1.5,
Cleared,12/23/2023,REGAL CINEMAS INC 8778355734 TN,23.59,
Cleared,12/23/2023,TARGET 00013540 SAN ANTONIO TX,10.83,
Cleared,12/21/2023,GUILLERMO S SAN ANTONIO TX,17.31,
Cleared,12/17/2023,INDIAN FOOD STORIES SAN ANTONIO TX,15.13,
Cleared,12/16/2023,0329 GREAT CLIPS AT VI SAN ANTONIO TX,14.99,
Cleared,12/15/2023,"ONLINE PAYMENT, THANK YOU",,-904.42
Cleared,12/1/2023,"ONLINE PAYMENT, THANK YOU",,-200
Cleared,12/1/2023,"ONLINE PAYMENT, THANK YOU",,-1000
Cleared,11/26/2023,WAL-MART #1198 SAN ANTONIO TX,,-10.79
Cleared,11/26/2023,LYFT 2 RIDES 11-25 8558659553 CA null XXXXXXXXXXXX3795,28.53,
Cleared,11/25/2023,SHELL OIL 12661753009 KATY TX,58.58,
Cleared,11/24/2023,WM SUPERCENTER #3226 KATY TX,17.95,
Cleared,11/24/2023,SARAVANAA BHAVAN SUGAR LAND TX,150.25,
Cleared,11/24/2023,SHELL OIL12979910010 KATY TX,33.22,
Cleared,11/24/2023,LA QUINTA KATY MILLS KATY TX PHONE NUMBER: 8324518667 FOLIO NUMBER: 00120557 ARRIVE: 11/24/2023 DEPART:11/25/2023,126.56,
Cleared,11/23/2023,H-E-B #463 SAN ANTONIO TX,22.71,
Cleared,11/23/2023,SHAHI SAN ANTONIO TX,9.98,
Cleared,11/23/2023,SHELL OIL 575278824QPS SAN ANTONIO TX,29.94,
Cleared,11/18/2023,SONIC DRIVE IN 5703 SAN ANTONIO TX,9.16,
Cleared,11/17/2023,"ONLINE PAYMENT, THANK YOU",,-1000
Cleared,11/16/2023,GUILLERMO S SAN ANTONIO TX,16.14,
Cleared,11/11/2023,GDP*REALITY BITES DENT SAN ANTONIO TX,241.2,
Cleared,11/3/2023,"ONLINE PAYMENT, THANK YOU",,-1000
Cleared,11/2/2023,Information Systems Se SPRING TX,110,
Cleared,10/25/2023,SQ *KNIGHT WATCH GAMES San Antonio TX,15.43,
Cleared,10/20/2023,"ONLINE PAYMENT, THANK YOU",,-1000
Cleared,10/19/2023,AFV #544 SAN ANTONIO TX,10.12,
Cleared,10/13/2023,MEMBERSHIP FEE OCT 23-SEP 24,0,
Cleared,10/9/2023,AUTOPAY 230904022121486RAUTOPAY AUTO-PMT,,-53
Cleared,10/6/2023,"ONLINE PAYMENT, THANK YOU",,-1000
Cleared,10/5/2023,AFV #544 SAN ANTONIO TX,11.63,
Cleared,10/4/2023,SPORT CLIPS - TX331 SAN ANTONIO TX,32,
Cleared,9/24/2023,H-E-B #463 SAN ANTONIO TX,9.8,
Cleared,9/22/2023,"ONLINE PAYMENT, THANK YOU",,-200
Cleared,9/21/2023,AFV #544 SAN ANTONIO TX,7.75,
Cleared,9/9/2023,AUTOPAY 230904022121486RAUTOPAY AUTO-PMT,,-53
Cleared,9/5/2023,CITIBANK CONDITIONAL CREDIT FOR DISPUTE,,-17.27
Cleared,9/5/2023,CHEGG ORDER 8558681054 CA,17.27,
Cleared,8/31/2023,AFV #544 SAN ANTONIO TX,3.52,
Cleared,8/24/2023,GUILLERMO S SAN ANTONIO TX,15.14,
Cleared,8/24/2023,AFV #544 SAN ANTONIO TX,7.57,
Cleared,8/19/2023,CLOUDLEE NEW YORK NY,43.3,
Cleared,8/15/2023,WL *NCS*TESTING EXAM BLOOMINGTON MN,91,
Cleared,8/10/2023,0329 GREAT CLIPS AT VI SAN ANTONIO TX,20,
Cleared,8/9/2023,AUTOPAY 221205090621785RAUTOPAY AUTO-PMT,,-52
Cleared,8/6/2023,CITIBANK CONDITIONAL CREDIT FOR DISPUTE,,-17.27
Cleared,8/6/2023,CHEGG ORDER 8558681054 CA,17.27,
Cleared,8/4/2023,Subway 14027 San Antonio TX,6.04,
Cleared,8/4/2023,H-E-B #463 SAN ANTONIO TX,153.78,
Cleared,8/4/2023,AFV #544 SAN ANTONIO TX,4.31,
Cleared,7/17/2023,"ONLINE PAYMENT, THANK YOU",,-200
Cleared,7/17/2023,TST* Baklovah Bakery & San Antonio TX,7.59,
Cleared,7/17/2023,AFV #544 SAN ANTONIO TX,12.72,
Cleared,7/17/2023,TST* Zaatar Lebanese G San Antonio TX,20.51,
Cleared,7/16/2023,H-E-B #265 CEDAR PARK TX,5.79,
Cleared,7/16/2023,INDIAN DELIGHTS CEDAR PARK TX,40.51,
Cleared,7/16/2023,SRI VENKATESWARA TEMPL CEDAR PARK TX,51,
Cleared,7/9/2023,AUTOPAY 221205090621785RAUTOPAY AUTO-PMT,,-53
Cleared,7/7/2023,"ONLINE PAYMENT, THANK YOU",,-100
Cleared,7/7/2023,MAJESTIC THEATRE SAN ANTONIO TX,101,
Cleared,7/2/2023,SQ *SRI SHIRDI SAI BAB San Antonio TX,25,
Cleared,6/24/2023,WALGREENS #4838 SAN ANTONIO TX,7.18,
Cleared,6/22/2023,"ONLINE PAYMENT, THANK YOU",,-100
Cleared,6/19/2023,MADURAI MES SAN ANTONIO TX,59.32,
Cleared,6/12/2023,CVS/PHARMACY #08325 SAN ANTONIO TX,3.99,
Cleared,6/9/2023,AUTOPAY 221205090621785RAUTOPAY AUTO-PMT,,-50
Cleared,6/6/2023,"ONLINE PAYMENT, THANK YOU",,-150
Cleared,5/31/2023,AB* ABEBOOKS.CO JZXFIV SEATTLE WA,8.37,
Cleared,5/30/2023,AB* ABEBOOKS.CO JZXFJW SEATTLE WA null XXXXXXXXXXXX9042,4.47,
Cleared,5/20/2023,CITIBANK CONDITIONAL CREDIT FOR DISPUTE,,-132.24
Cleared,5/20/2023,REVERSE CHICKEN N PICKLE SAN ANTON,132.24,
Cleared,5/20/2023,CHICKEN N PICKLE SAN ANTONIO TX,167.21,
Cleared,5/19/2023,H-E-B #463 SAN ANTONIO TX,161.37,
Cleared,5/16/2023,NTTA ONLINE 972-818-6882 TX,13.43,
Cleared,5/16/2023,PAYPAL *JET USA INC 4029357733 NJ,102,
Cleared,5/13/2023,WAL-MART #1198 SAN ANTONIO TX,3.23,
Cleared,5/11/2023,0329 GREAT CLIPS AT VI SAN ANTONIO TX,12.99,
Cleared,5/9/2023,CITIBANK CREDIT FOR DISPUTE,,-5.4
Cleared,5/9/2023,AUTOPAY 221205090621785RAUTOPAY AUTO-PMT,,-41
Cleared,5/9/2023,SPOTIFY 8777781161 NY,5.4,
Cleared,5/6/2023,VUE*IT CERTIFICATION 800-511-3478 MN,99,
Cleared,5/4/2023,TRADER JOE S #455 SAN ANTONIO TX,74.86,
Cleared,5/3/2023,DUNKIN #359241 SAN ANTONIO TX,8.75,
Cleared,5/3/2023,AFV #544 SAN ANTONIO TX,11.67,
Cleared,5/3/2023,CIRCLE K #2740259 SAN ANTONIO TX,34.66,
Cleared,5/2/2023,CHIPOTLE 0592 SAN ANTONIO TX,16.08,
Cleared,4/30/2023,CNK*CINEMARK.COM 352 800-246-3627 TX,41.13,
Cleared,4/30/2023,KROGER #0575 ROCKWALL TX,29.31,
Cleared,4/30/2023,BUC-EE'S #35 TEMPLE TX,12.19,
Cleared,4/30/2023,SCOTTIES ROCKWALL TX,16.54,
Cleared,4/29/2023,CVS/PHARMACY #07464 ROCKWALL TX,21.09,
Cleared,4/29/2023,SCOTTIES ROCKWALL TX,19.98,
Cleared,4/28/2023,DUNKIN #359241 SAN ANTONIO TX,4.64,
Cleared,4/26/2023,AFV #544 SAN ANTONIO TX,6.27,
Cleared,4/26/2023,AFV #544 SAN ANTONIO TX,6.7,
Cleared,4/24/2023,AFV #544 SAN ANTONIO TX,12.2,
Cleared,4/22/2023,SONIC DRIVE IN #5110 SAN ANTONIO TX,12.43,
